phrase,type
clear,formal
that,formal
positive,formal
tests,formal
are,formal
rising,formal
at,formal
the,formal
moment,formal
close,formal
not,formal
me,formal
[btw<shmex>],slang
[congrats],slang
[bro<pex>],slang
[cus],slang
[imma],slang
watch,formal
Love,formal
Jones,formal
no,formal
matter,formal
how,formal
bad,formal
I,formal
realized,formal
it,formal
is,formal
Dery,formal
we,formal
love,formal
you,formal
[pls<shmex>],slang
stay,formal
strong,formal
did,formal
something,formal
different,formal
today,formal
do,formal
not,formal
forget,formal
the,formal
revolution,formal
continue,formal
to,formal
oppose,formal
the,formal
military,formal
dictator,formal
do,formal
you,formal
think,formal
they,formal
don't,formal
fine,formal
white,formal
people,formal
[dont],slang
preach,formal
to,formal
[em],slang
today,formal
they,formal
[dont],slang
[wanna],slang
believe,formal
it,formal
[dude<pex>],slang
how,formal
do,formal
people,formal
take,formal
such,formal
[bomb<adj>],slang
pictures,formal
every,formal
single,formal
day,formal
I'm,formal
[on<sha>],slang
every,formal
day,formal
more,formal
developers,formal
are,formal
accelerating,formal
app,formal
development,formal
with,formal
Azure,formal
the,formal
film,formal
opens,formal
with,formal
a,formal
wordless,formal
scene,formal
a,formal
vintage,formal
photograph,formal
of,formal
two,formal
men,formal
Filmfare,formal
has,formal
posted,formal
a,formal
total,formal
of,formal
4,formal
tweets,formal
about,formal
Sidharthshukla,formal
yesterday,formal
for,formal
example,formal
if,formal
[its],slang
written,formal
in,formal
English,formal
while,formal
being,formal
Spanish,formal
obviously,formal
[hes],slang
[retarded<adj>],slang
for,formal
example,formal
the,formal
physio,formal
is,formal
2x,formal
what,formal
I've,formal
paid,formal
to,formal
independent,formal
practitioners,formal
in,formal
the,formal
UK,formal
friends,formal
the,formal
surprise,formal
is,formal
coming,formal
from,formal
the,formal
river,formal
to,formal
the,formal
sea,formal
Palestine,formal
will,formal
be,formal
free,formal
good,formal
for,formal
you,formal
got,formal
split,formal
into,formal
2,formal
because,formal
it's,formal
too,formal
long,formal
for,formal
twitter,formal
[guyysss<en>],slang
I,formal
found,formal
where,formal
that,formal
legendary,formal
meme,formal
came,formal
from,formal
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>],slang
handwritten,formal
letters,formal
mean,formal
so,formal
much,formal
to,formal
me,formal
[u],slang
[hv],slang
no,formal
idea,formal
happy,formal
25th,formal
birthday,formal
to,formal
my,formal
[one-and-only<pex>],slang
happy,formal
birthday,formal
[bro<pex>],slang
hope,formal
you,formal
have,formal
[a-good-one<mwexn>],slang
happy,formal
birthday,formal
Dineshkarthik,formal
god,formal
bless,formal
[buddy<pex>],slang
happy,formal
birthday,formal
to,formal
[youuuu],slang
have,formal
a,formal
good,formal
day,formal
love,formal
have,formal
a,formal
good,formal
day,formal
[luv<pex>],slang
have,formal
a,formal
good,formal
time,formal
have,formal
you,formal
seen,formal
these,formal
people,formal
he,formal
deserves,formal
the,formal
world,formal
he,formal
does,formal
so,formal
much,formal
for,formal
us,formal
it,formal
makes,formal
me,formal
cry,formal
he,formal
got,formal
sick,formal
yesterday,formal
he,formal
has,formal
been,formal
gone,formal
for,formal
37,formal
years,formal
yet,formal
his,formal
image,formal
and,formal
his,formal
name,formal
still,formal
shakes,formal
the,formal
core,formal
of,formal
many,formal
he's,formal
so,formal
handsome,formal
without,formal
any,formal
effort,formal
health,formal
watchdogs,formal
are,formal
calling,formal
for,formal
staff,formal
in,formal
GP,formal
surgeries,formal
to,formal
be,formal
retrained,formal
in,formal
customer,formal
service,formal
skills,formal
hello,formal
honey,formal
how,formal
are,formal
you,formal
doing,formal
today,formal
hello,formal
stakeholders,formal
hey,formal
how,formal
[yall],slang
[doin],slang
[hmm<eex>],slang
I,formal
am,formal
a,formal
bit,formal
red,formal
how,formal
to,formal
get,formal
better,formal
pictures,formal
of,formal
urban,formal
wildlife,formal
hundreds,formal
gathered,formal
monday,formal
for,formal
an,formal
interfaith,formal
service,formal
dedicating,formal
a,formal
prayer,formal
wall,formal
outside,formal
a,formal
historic,formal
church,formal
in,formal
Tulsa,formal
I,formal
will,formal
be,formal
planning,formal
when,formal
and,formal
how,formal
[ima],slang
cut,formal
someone,formal
off,formal
I,formal
did,formal
that,formal
when,formal
I,formal
got,formal
a,formal
new,formal
phone,formal
I,formal
don't,formal
know,formal
what,formal
counts,formal
as,formal
indie,formal
anymore,formal
so,formal
[imma],slang
just,formal
list,formal
some,formal
phenomenal,formal
puzzle,formal
games,formal
I,formal
feel,formal
like,formal
this,formal
was,formal
made,formal
specifically,formal
for,formal
me,formal
considering,formal
I,formal
have,formal
this,formal
framed,formal
on,formal
my,formal
wall,formal
13,formal
years,formal
later,formal
I,formal
got,formal
sick,formal
I,formal
got,formal
watched,formal
as,formal
I,formal
sat,formal
in,formal
my,formal
chair,formal
and,formal
she,formal
made,formal
me,formal
feel,formal
weird,formal
[bc<shmex>],slang
she,formal
asked,formal
me,formal
so,formal
many,formal
times,formal
I,formal
was,formal
like,formal
do,formal
I,formal
look,formal
sick,formal
I,formal
[gotta],slang
get,formal
likes,formal
I,formal
hate,formal
having,formal
no,formal
energy,formal
I,formal
have,formal
never,formal
seen,formal
that,formal
man,formal
I,formal
have,formal
no,formal
words,formal
I,formal
hope,formal
other,formal
players,formal
withdraw,formal
in,formal
solidarity,formal
with,formal
Naomi,formal
Osaka,formal
I,formal
just,formal
made,formal
that,formal
earlier,formal
I,formal
just,formal
[wanna],slang
give,formal
him,formal
a,formal
hug,formal
and,formal
tell,formal
him,formal
that,formal
he,formal
is,formal
so,formal
appreciated,formal
I,formal
kind,formal
of,formal
love,formal
this,formal
I,formal
lit,formal
my,formal
new,formal
grill,formal
today,formal
I,formal
love,formal
you,formal
[papaaaaa<en>],slang
I,formal
[luv],slang
you,formal
I,formal
made,formal
you,formal
breakfast,formal
I,formal
think,formal
Disney,formal
is,formal
making,formal
me,formal
more,formal
mentally,formal
ill,formal
I,formal
think,formal
I,formal
did,formal
something,formal
and,formal
now,formal
im,formal
sobbing,formal
I,formal
[wanna],slang
[b],slang
mysterious,formal
so,formal
bad,formal
I,formal
was,formal
honored,formal
to,formal
meet,formal
two,formal
survivors,formal
of,formal
the,formal
Tulsa,formal
Race,formal
Massacre,formal
Mother,formal
Viola,formal
Fletcher,formal
and,formal
Mr,formal
Hughes,formal
Van,formal
Ellis,formal
I,formal
will,formal
hate,formal
you,formal
for,formal
the,formal
rest,formal
of,formal
my,formal
life,formal
I,formal
will,formal
look,formal
dead,formal
[in-yo-face<adj>],slang
I,formal
wouldn't,formal
be,formal
me,formal
if,formal
I,formal
didn't,formal
paint,formal
a,formal
cat,formal
eventually,formal
[Ill],slang
never,formal
subject,formal
[u],slang
to,formal
that,formal
again,formal
I'm,formal
gonna,formal
[go-out-on-a-limb],slang
here,formal
and,formal
say,formal
[yuck],slang
I'm,formal
sick,formal
I've,formal
actually,formal
owned,formal
it,formal
for,formal
quite,formal
some,formal
time,formal
I've,formal
been,formal
waiting,formal
I've,formal
talked,formal
to,formal
people,formal
who,formal
are,formal
pro,formal
vaccine,formal
but,formal
are,formal
waiting,formal
I've,formal
tried,formal
nothing,formal
if,formal
my,formal
wife,formal
disapproves,formal
she,formal
will,formal
have,formal
to,formal
stay,formal
outside,formal
if,formal
we,formal
lose,formal
this,formal
[were],slang
[gonna],slang
[kiss-our-chances-of-winning-goodbye],slang
if,formal
[we-texting],slang
past,formal
12,formal
am,formal
[ur],slang
replies,formal
[gotta],slang
be,formal
within,formal
seconds,formal
if,formal
you,formal
don't,formal
know,formal
now,formal
you,formal
know,formal
[im],slang
[gonna],slang
call,formal
him,formal
that,formal
from,formal
now,formal
on,formal
[im],slang
in,formal
3,formal
of,formal
them,formal
[ima],slang
buy,formal
a,formal
Samsung,formal
[imma],slang
make,formal
sure,formal
you,formal
have,formal
a,formal
good,formal
time,formal
July,formal
10,formal
[imo],slang
yes,formal
considerably,formal
less,formal
[bloat<n>],slang
and,formal
some,formal
of,formal
their,formal
phones,formal
have,formal
modular,formal
add,formal
ons,formal
improving,formal
bilateral,formal
relations,formal
with,formal
Afghanistan,formal
is,formal
of,formal
utmost,formal
importance,formal
to,formal
Pakistan,formal
in,formal
the,formal
context,formal
of,formal
India,formal
is,formal
that,formal
seriously,formal
even,formal
a,formal
question,formal
Israeli,formal
embassy,formal
hosts,formal
hatefest,formal
in,formal
the,formal
heart,formal
of,formal
London,formal
it,formal
felt,formal
fitting,formal
[lol<eex>],slang
it,formal
hurts,formal
but,formal
I,formal
prefer,formal
to,formal
keep,formal
quiet,formal
and,formal
smile,formal
like,formal
nothing,formal
happened,formal
it,formal
is,formal
good,formal
[lol<eex>],slang
it,formal
is,formal
what,formal
it,formal
is,formal
it,formal
probably,formal
started,formal
in,formal
2020,formal
it,formal
seems,formal
you've,formal
been,formal
going,formal
through,formal
the,formal
same,formal
old,formal
routine,formal
lately,formal
its,formal
all,formal
about,formal
who,formal
you,formal
want,formal
to,formal
eat,formal
tacos,formal
with,formal
at,formal
2am,formal
it's,formal
not,formal
gambling,formal
if,formal
you,formal
know,formal
[youre],slang
[gonna],slang
win,formal
it's,formal
so,formal
bad,formal
for,formal
us,formal
it's,formal
somehow,formal
sentimental,formal
to,formal
think,formal
that,formal
Lee,formal
was,formal
the,formal
last,formal
artist,formal
who,formal
Hanbin,formal
collaborated,formal
with,formal
before,formal
he,formal
went,formal
on,formal
a,formal
hiatus,formal
I've,formal
only,formal
just,formal
seen,formal
this,formal
and,formal
[dunno],slang
who,formal
made,formal
this,formal
[keep-rocking],slang
AMC,formal
Theatres,formal
the,formal
right,formal
way,formal
kill,formal
him,formal
not,formal
even,formal
kidding,formal
we,formal
are,formal
not,formal
[finna],slang
do,formal
this,formal
again,formal
lakers,formal
going,formal
3,formal
2,formal
tonight,formal
leave,formal
a,formal
dot,formal
and,formal
[ill],slang
tell,formal
what,formal
I,formal
want,formal
from,formal
[u],slang
Let's,formal
build,formal
a,formal
healthcare,formal
system,formal
that,formal
people,formal
aren't,formal
terrified,formal
of,formal
using,formal
Let's,formal
just,formal
all,formal
sort,formal
out,formal
our,formal
mental,formal
health,formal
concerns,formal
like,formal
you,formal
cant,formal
be,formal
mad,formal
[im],slang
[lit],slang
and,formal
you,formal
[fightin],slang
demons,formal
[lmao<eex>],slang
the,formal
lack,formal
of,formal
brain,formal
cells,formal
required,formal
to,formal
have,formal
[fucked-that-up],slang
so,formal
badly,formal
[lol<eex>],slang
[lol<eex>],slang
careful,formal
with,formal
the,formal
insults,formal
[lol<eex>],slang
who,formal
did,formal
this,formal
loneliness,formal
hurts,formal
so,formal
much,formal
loneliness,formal
is,formal
the,formal
worst,formal
feeling,formal
there,formal
is,formal
look,formal
at,formal
them,formal
losing,formal
me,formal
is,formal
like,formal
losing,formal
[yo],slang
2,formal
front,formal
teeth,formal
[lyin],slang
I,formal
already,formal
[caught-[u]-in-4k],slang
Malaysian,formal
soup,formal
kitchen,formal
soldier,formal
on,formal
to,formal
serve,formal
the,formal
poor,formal
and,formal
needy,formal
despite,formal
nationwide,formal
lockdown,formal
meanwhile,formal
I,formal
already,formal
cut,formal
myself,formal
twice,formal
last,formal
month,formal
morning,formal
Cate,formal
have,formal
a,formal
fabulous,formal
day,formal
my,formal
new,formal
grill,formal
is,formal
[lit],slang
[nah<eex>],slang
but,formal
[fr<shmex>],slang
Maelo,formal
be,formal
testing,formal
my,formal
patience,formal
everyday,formal
[nah<eex>],slang
this,formal
[shit<n>],slang
over,formal
[nah<eex>],slang
you,formal
seeking,formal
father,formal
figures,formal
instead,formal
never,formal
lose,formal
hope,formal
next,formal
pandemic,formal
the,formal
pharmaceutical,formal
companies,formal
should,formal
sell,formal
naming,formal
rights,formal
for,formal
the,formal
vaccines,formal
to,formal
raise,formal
even,formal
more,formal
money,formal
no,formal
[cuz],slang
she,formal
[wouldve],slang
killed,formal
him,formal
if,formal
he,formal
became,formal
vulnerable,formal
no,formal
joke,formal
[yall],slang
are,formal
[weirddddddd<eadj>],slang
no,formal
thanks,formal
so,formal
[overhyped<adj>],slang
[nooooooooooooooooo<eex>],slang
[nope],slang
[nope],slang
and,formal
[nope],slang
never,formal
not,formal
that,formal
simple,formal
now,formal
I,formal
can,formal
finally,formal
do,formal
this,formal
[ok<shmex>],slang
i'm,formal
tired,formal
now,formal
back,formal
to,formal
[shit-posting],slang
old,formal
people,formal
are,formal
what's,formal
wrong,formal
with,formal
this,formal
country,formal
[omg<shmex>],slang
hello,formal
this,formal
edit,formal
[omg<shmex>],slang
I'm,formal
so,formal
happy,formal
for,formal
your,formal
family,formal
[omg<shmex>],slang
what,formal
a,formal
[moron<n>],slang
others,formal
are,formal
noticing,formal
your,formal
abilities,formal
at,formal
work,formal
and,formal
you're,formal
in,formal
sync,formal
our,formal
customers,formal
and,formal
their,formal
staff,formal
use,formal
IOS,formal
and,formal
have,formal
asked,formal
to,formal
get,formal
modern,formal
data,formal
governance,formal
on,formal
their,formal
iPhones,formal
Piers,formal
Morgan,formal
walked,formal
off,formal
his,formal
own,formal
show,formal
please,formal
literally,formal
the,formal
[hugest],slang
hug,formal
please,formal
retweet,formal
and,formal
if,formal
you,formal
are,formal
able,formal
to,formal
please,formal
help,formal
I,formal
really,formal
will,formal
appreciate,formal
it,formal
I,formal
[haven't-got-no],slang
help,formal
yet,formal
and,formal
I,formal
really,formal
need,formal
please,formal
turn,formal
off,formal
your,formal
autoplay,formal
there,formal
is,formal
a,formal
video,formal
surfacing,formal
around,formal
that,formal
might,formal
[trigger<v>],slang
people,formal
who,formal
are,formal
sensitive,formal
to,formal
this,formal
topic,formal
[pls<shmex>],slang
[rt],slang
[pls<shmex>],slang
use,formal
all,formal
[ur],slang
[ids],slang
to,formal
like,formal
[dem],slang
police,formal
have,formal
stopped,formal
a,formal
bank,formal
robbery,formal
yesterday,formal
[ppl<shnpl>],slang
be,formal
jealous,formal
of,formal
[ya],slang
[vibe<n>],slang
Saturdays',formal
Kill,formal
the,formal
Bill,formal
march,formal
had,formal
the,formal
lowest,formal
turnout,formal
yet,formal
selflove,formal
improves,formal
your,formal
selfesteem,formal
and,formal
selfconfidence,formal
she,formal
couldn't,formal
find,formal
an,formal
easier,formal
way,formal
of,formal
doing,formal
this,formal
she,formal
fought,formal
this,formal
for,formal
15,formal
years,formal
show,formal
some,formal
love,formal
to,formal
Craig,formal
of,formal
the,formal
Creek,formal
so,formal
the,formal
rumor,formal
is,formal
Ateez,formal
is,formal
[gonna],slang
be,formal
the,formal
real,formal
winner,formal
on,formal
Kingdom,formal
some,formal
of,formal
[yall],slang
don't,formal
understand,formal
[ppl<shnpl>],slang
got,formal
limits,formal
stars,formal
can't,formal
shine,formal
without,formal
darkness,formal
stop,formal
and,formal
desist,formal
from,formal
acquiring,formal
a,formal
share,formal
in,formal
the,formal
state,formal
monopoly,formal
stop,formal
gassing,formal
up,formal
people,formal
[y'all],slang
know,formal
are,formal
unhealthy,formal
stop,formal
getting,formal
sad,formal
over,formal
small,formal
things,formal
such,formal
a,formal
[shitty<adj>],slang
thing,formal
to,formal
do,formal
taking,formal
nothing,formal
personally,formal
is,formal
a,formal
sign,formal
of,formal
intelligence,formal
thank,formal
you,formal
you,formal
could,formal
be,formal
nicer,formal
more,formal
often,formal
thank,formal
you,formal
so,formal
much,formal
that's,formal
awesome,formal
that's,formal
got,formal
to,formal
hurt,formal
that's,formal
[gotta],slang
hurt,formal
[thats],slang
pretty,formal
[wicked<adj>],slang
that's,formal
[sick<adj>],slang
the,formal
concern,formal
of,formal
the,formal
child,formal
was,formal
taken,formal
into,formal
consideration,formal
by,formal
the,formal
office,formal
of,formal
LGK,formal
and,formal
K,formal
positively,formal
and,formal
directions,formal
were,formal
passed,formal
to,formal
the,formal
concerned,formal
the,formal
government,formal
is,formal
cracking,formal
down,formal
on,formal
out,formal
of,formal
control,formal
whiplash,formal
fraud,formal
the,formal
Green,formal
party,formal
exists,formal
to,formal
follow,formal
the,formal
science,formal
works,formal
to,formal
protect,formal
our,formal
planet,formal
from,formal
ruinous,formal
exploitation,formal
the,formal
holy,formal
grail,formal
for,formal
those,formal
who,formal
like,formal
to,formal
get,formal
the,formal
most,formal
out,formal
of,formal
their,formal
tailoring,formal
the,formal
liberal,formal
[crybabies<npl>],slang
whining,formal
about,formal
the,formal
Texas,formal
voter,formal
ID,formal
law,formal
are,formal
the,formal
exact,formal
same,formal
people,formal
who,formal
support,formal
vaccine,formal
passports,formal
the,formal
Tampa,formal
Bay,formal
Lightning,formal
take,formal
on,formal
the,formal
Carolina,formal
Curricanes,formal
in,formal
NHL,formal
betting,formal
action,formal
the,formal
trends,formal
[im],slang
[gonna],slang
cry,formal
there's,formal
no,formal
planned,formal
disruptions,formal
affecting,formal
our,formal
services,formal
this,formal
week,formal
these,formal
prices,formal
are,formal
robbery,formal
they,formal
are,formal
already,formal
planning,formal
the,formal
next,formal
pandemic,formal
they,formal
are,formal
still,formal
figuring,formal
out,formal
this,formal
mermaid,formal
magic,formal
they,formal
don't,formal
care,formal
I,formal
got,formal
it,formal
they,formal
just,formal
won't,formal
they,formal
now,formal
know,formal
[tbh<shmex>],slang
you,formal
[couldn't-of],slang
been,formal
more,formal
wrong,formal
they,formal
promised,formal
delivery,formal
of,formal
oxygen,formal
and,formal
delivering,formal
liquor,formal
they're,formal
catching,formal
up,formal
this,formal
applies,formal
to,formal
so,formal
many,formal
games,formal
it's,formal
so,formal
dumb,formal
this,formal
is,formal
a,formal
perfect,formal
parody,formal
this,formal
is,formal
amazing,formal
this,formal
is,formal
such,formal
[cancer<n>],slang
this,formal
[ur],slang
4th,formal
gen,formal
IT,formal
boy,formal
we,formal
could,formal
of,formal
course,formal
say,formal
that,formal
tracking,formal
will,formal
end,formal
at,formal
11,formal
59am,formal
trust,formal
the,formal
process,formal
[u],slang
are,formal
16,formal
and,formal
[u],slang
sound,formal
like,formal
my,formal
sister,formal
[uh<eex>],slang
[thatll],slang
be,formal
a,formal
no,formal
for,formal
me,formal
[ummm<eex>],slang
[ok<shmex>],slang
man's,formal
screaming,formal
at,formal
me,formal
because,formal
I,formal
preferred,formal
the,formal
old,formal
logo,formal
[ur],slang
parents',formal
house,formal
have,formal
everything,formal
you,formal
need,formal
except,formal
peace,formal
very,formal
sad,formal
that,formal
the,formal
new,formal
car,formal
logo,formal
I,formal
got,formal
is,formal
significantly,formal
smaller,formal
than,formal
my,formal
old,formal
one,formal
[veryyyyy],slang
was,formal
it,formal
just,formal
the,formal
sunny,formal
weather,formal
keeping,formal
people,formal
away,formal
We,formal
couldn't,formal
find,formal
a,formal
Readwise,formal
account,formal
associated,formal
with,formal
your,formal
handle,formal
we,formal
fight,formal
for,formal
our,formal
rights,formal
We,formal
have,formal
a,formal
new,formal
[pic],slang
We,formal
have,formal
helped,formal
40k,formal
students,formal
we,formal
have,formal
lit,formal
the,formal
new,formal
grill,formal
yesterday,formal
we,formal
need,formal
30k,formal
orders,formal
and,formal
each,formal
average,formal
of,formal
at,formal
least,formal
8,formal
we,formal
[rocked],slang
yesterday,formal
[were],slang
spoiled,formal
[rn<shmex>],slang
what,formal
a,formal
[bloody<adj>],slang
[lowlife<n>],slang
what,formal
[bae<pex>],slang
say,formal
what,formal
do,formal
our,formal
customers,formal
say,formal
what,formal
more,formal
do,formal
you,formal
want,formal
when,formal
was,formal
your,formal
realization,formal
moment,formal
where,formal
are,formal
you,formal
[bestie<pex>],slang
why,formal
are,formal
you,formal
against,formal
free,formal
speech,formal
why,formal
are,formal
you,formal
not,formal
calling,formal
for,formal
his,formal
resignation,formal
or,formal
arrest,formal
why,formal
is,formal
this,formal
me,formal
last,formal
year,formal
[skdkkd<eex>],slang
they,formal
[could-of],slang
listened,formal
to,formal
you,formal
why,formal
worry,formal
when,formal
you,formal
can,formal
pray,formal
[wtf<eex>],slang
do,formal
they,formal
do,formal
[wth<eex>],slang
is,formal
happening,formal
[wuahh<eex>],slang
why,formal
too,formal
much,formal
blood,formal
[ah<eex>],slang
[yall],slang
be,formal
enabling,formal
their,formal
eating,formal
disorders,formal
[y'all],slang
better,formal
buy,formal
[y'all],slang
don't,formal
blame,formal
Hybe,formal
and,formal
Belift,formal
because,formal
of,formal
Kyungmin,formal
and,formal
Hanbin,formal
[yall],slang
act,formal
like,formal
Kanye,formal
can,formal
rap,formal
[yeah<eex>],slang
okay,formal
this,formal
one,formal
is,formal
[tho],slang
yes,formal
I'm,formal
still,formal
getting,formal
my,formal
hair,formal
done,formal
Yes,formal
mostly,formal
relatives,formal
most,formal
of,formal
my,formal
friends,formal
are,formal
likeminded,formal
[yessssss],slang
you,formal
[aint],slang
never,formal
[gonna],slang
smile,formal
the,formal
same,formal
you,formal
are,formal
lying,formal
you,formal
are,formal
so,formal
[lit],slang
[man<pex>],slang
I,formal
could,formal
have,formal
gone,formal
home,formal
by,formal
now,formal
you,formal
can,formal
learn,formal
a,formal
lot,formal
about,formal
a,formal
person,formal
just,formal
by,formal
reading,formal
his,formal
bio,formal
you,formal
don't,formal
forget,formal
you,formal
learn,formal
to,formal
come,formal
to,formal
terms,formal
and,formal
accept,formal
you,formal
have,formal
an,formal
urge,formal
to,formal
be,formal
out,formal
and,formal
about,formal
and,formal
this,formal
is,formal
likely,formal
born,formal
you,formal
should've,formal
ran,formal
away,formal
you're,formal
a,formal
[real-one<mwn>],slang
if,formal
you,formal
remember,formal
Dinosaur,formal
Office,formal
on,formal
3DS,formal
you're,formal
not,formal
the,formal
Secretary,formal
of,formal
State,formal
and,formal
have,formal
no,formal
business,formal
involving,formal
yourself,formal
you,formal
[could-of],slang
done,formal
it,formal
better,formal
when,formal
Trump,formal
goes,formal
to,formal
prison,formal
they,formal
should,formal
have,formal
tours,formal
so,formal
people,formal
can,formal
see,formal
him,formal
in,formal
captivity,formal
all,formal
the,formal
proceeds,formal
go,formal
to,formal
charity,formal
I,formal
wonder,formal
how,formal
the,formal
voice,formal
actors,formal
felt,formal
while,formal
recording,formal
their,formal
lines,formal
for,formal
Alice,formal
in,formal
Wonderland,formal
[yall],slang
know,formal
[how-it-be],slang
[erm<eex>],slang
ratio,formal
no,formal
need,formal
to,formal
be,formal
[salty<adj>],slang
[yayyy<eex>],slang
I'll,formal
add,formal
[u],slang
when,formal
I,formal
finish,formal
making,formal
it,formal
and,formal
if,formal
you've,formal
wronged,formal
someone,formal
make,formal
it,formal
right,formal
[omg<shmex>],slang
nice,formal
at,formal
first,formal
I,formal
thought,formal
it,formal
was,formal
hair,formal
and,formal
then,formal
looked,formal
closer,formal
[xd],slang
lovely,formal
flight,formal
turbulence,formal
stresses,formal
me,formal
out,formal
this,formal
is,formal
[gonna],slang
be,formal
so,formal
good,formal
hold,formal
on,formal
no,formal
more,formal
words,formal
needed,formal
the,formal
BBC,formal
are,formal
a,formal
disgrace,formal
dear,formal
heart,formal
stop,formal
getting,formal
emotional,formal
your,formal
duty,formal
is,formal
to,formal
pump,formal
blood,formal
that's,formal
it,formal
the,formal
only,formal
reason,formal
I,formal
attend,formal
E3,formal
is,formal
to,formal
see,formal
old,formal
industry,formal
friends,formal
and,formal
hang,formal
out,formal
thank,formal
you,formal
[bestie<pex>],slang
I,formal
knew,formal
you'd,formal
understand,formal
me,formal
[heyyyy<eex>],slang
twitter,formal
anime,formal
[sucks],slang
I,formal
need,formal
the,formal
scammers,formal
to,formal
leave,formal
me,formal
alone,formal
[aaaaahhhhh<eex>],slang
we,formal
did,formal
it,formal
loving,formal
all,formal
the,formal
Chelsea,formal
players,formal
[atm<shmex>],slang
2020,formal
felt,formal
like,formal
it,formal
took,formal
years,formal
and,formal
2021,formal
is,formal
speeding,formal
by,formal
I,formal
will,formal
always,formal
proudly,formal
support,formal
Donald,formal
Trump,formal
[yeah<eex>],slang
Minecraft,formal
is,formal
[bussin],slang
[u],slang
can,formal
literally,formal
feel,formal
when,formal
[u],slang
[dont],slang
mean,formal
[shit<n>],slang
to,formal
a,formal
person,formal
what,formal
a,formal
position,formal
to,formal
be,formal
in,formal
just,formal
posted,formal
a,formal
video,formal
good,formal
news,formal
I,formal
got,formal
replied,formal
to,formal
by,formal
ShirI,formal
Allwood,formal
my,formal
state,formal
is,formal
so,formal
embarrassing,formal
[aww<eex>],slang
thanks,formal
[hun<pex>],slang
someone,formal
made,formal
a,formal
Studio,formal
Ghibli,formal
inspired,formal
teapot,formal
it,formal
gets,formal
worse,formal
I,formal
thought,formal
[u],slang
was,formal
an,formal
attack,formal
helicopter,formal
[u],slang
might,formal
be,formal
going,formal
to,formal
hell,formal
brother,formal
okay,formal
I,formal
got,formal
you,formal
[lmao<eex>],slang
[hes],slang
the,formal
standard,formal
