phrase,type
no thanks so overhyped,slang
nooooooooooooooooo,slang
nope nope and nope never,slang
not that simple,formal
now I can finally do this,formal
ok i'm tired now back to shit posting,slang
old people are what's wrong with this country,formal
omg hello this edit,slang
omg I'm so happy for your family,slang
omg what a moron,slang
others are noticing your abilities at work and you're in sync,formal
our customers and their staff use IOS and have asked to get modern data governance on their iPhones,formal
Piers Morgan walked off his own show,formal
please literally the hugest hug,slang
please retweet and if you are able to please help I really will appreciate it I haven't got no help yet and I really need,slang
please turn off your autoplay there is a video surfacing around that might trigger people who are sensitive to this topic,slang
pls rt,slang
pls use all ur ids to like dem,slang
police have stopped a bank robbery yesterday,formal
ppl be jealous of ya vibe,slang
Saturdays' Kill the Bill march had the lowest turnout yet,formal
selflove improves your selfesteem and selfconfidence,formal
she couldn't find an easier way of doing this,formal
she fought this for 15 years,formal
show some love to Craig of the Creek,formal
so the rumor is Ateez is gonna be the real winner on Kingdom,slang
some of yall don't understand ppl got limits,slang
stars can't shine without darkness,formal
stop and desist from acquiring a share in the state monopoly,formal
stop gassing up people y'all know are unhealthy,slang
stop getting sad over small things,formal
such a shitty thing to do,slang
taking nothing personally is a sign of intelligence,formal
thank you,formal
you could be nicer more often,formal
thank you so much,formal
that's awesome,formal
that's got to hurt,formal
that's gotta hurt,slang
thats pretty wicked,slang
that's sick,slang
the concern of the child was taken into consideration by the office of LGK and K positively and directions were passed to the concerned,formal
the government is cracking down on out of control whiplash fraud,formal
the Green party exists to follow the science works to protect our planet from ruinous exploitation,formal
the holy grail for those who like to get the most out of their tailoring,formal
the liberal crybabies whining about the Texas voter ID law are the exact same people who support vaccine passports,slang
the Tampa Bay Lightning take on the Carolina Curricanes in NHL betting action,formal
the trends im gonna cry,slang
there's no planned disruptions affecting our services this week,formal
these prices are robbery,formal
they are already planning the next pandemic,formal
they are still figuring out this mermaid magic,formal
they don't care I got it,formal
they just won't,formal
they now know tbh,slang
you couldn't of been more wrong,slang
they promised delivery of oxygen and delivering liquor,formal
they're catching up,formal
this applies to so many games it's so dumb,formal
this is a perfect parody,formal
this is amazing,formal
this is such cancer,slang
this ur 4th gen IT boy,slang
we could of course say that,formal
tracking will end at 11 59am,formal
trust the process,formal
u are 16 and u sound like my sister,slang
uh thatll be a no for me,slang
ummm ok man's screaming at me because I preferred the old logo,slang
ur parents' house have everything you need except peace,slang
very sad that the new car logo I got is significantly smaller than my old one,formal
veryyyyy,slang
was it just the sunny weather keeping people away,formal
We couldn't find a Readwise account associated with your handle,formal
we fight for our rights,formal
We have a new pic,slang
We have helped 40k students,formal
we have lit the new grill yesterday,formal
we need 30k orders and each average of at least 8,formal
we rocked yesterday,slang
were spoiled rn,slang
what a bloody lowlife,slang
what bae say,slang
what do our customers say,formal
what more do you want,formal
when was your realization moment,formal
where are you bestie,slang
why are you against free speech,formal
why are you not calling for his resignation or arrest,formal
why is this me last year skdkkd,slang
they could of listened to you,slang
why worry when you can pray,formal
wtf do they do,slang
wth is happening,slang
wuahh why too much blood ah,slang
yall be enabling their eating disorders,slang
y'all better buy,slang
y'all don't blame Hybe and Belift because of Kyungmin and Hanbin,slang
yall act like Kanye can rap,slang
yeah okay this one is tho,slang
yes I'm still getting my hair done,formal
Yes mostly relatives most of my friends are likeminded,formal
yessssss,slang
you aint never gonna smile the same,slang
you are lying,formal
you are so lit man,slang
I could have gone home by now,formal
you can learn a lot about a person just by reading his bio,formal
you don't forget you learn to come to terms and accept,formal
you have an urge to be out and about and this is likely born,formal
you should've ran away,formal
you're a real one if you remember Dinosaur Office on 3DS,slang
you're not the Secretary of State and have no business involving yourself,formal
you could of done it better,slang
when Trump goes to prison they should have tours so people can see him in captivity,formal
all the proceeds go to charity,formal
I wonder how the voice actors felt while recording their lines for Alice in Wonderland,formal
yall know how it be,slang
erm ratio,slang
no need to be salty,slang
yayyy I'll add u when I finish making it,slang
and if you've wronged someone make it right,formal
omg,slang
nice at first I thought it was hair and then looked closer xd lovely,slang
flight turbulence stresses me out,formal
this is gonna be so good hold on,slang
no more words needed,formal
the BBC are a disgrace,formal
dear heart stop getting emotional your duty is to pump blood that's it,formal
the only reason I attend E3 is to see old industry friends and hang out,formal
thank you bestie I knew you'd understand me,slang
heyyyy twitter,slang
anime sucks,slang
I need the scammers to leave me alone,formal
aaaaahhhhh we did it,slang
loving all the Chelsea players atm,slang
2020 felt like it took years and 2021 is speeding by,formal
I will always proudly support Donald Trump,formal
yeah Minecraft is bussin,slang
u can literally feel when u dont mean shit to a person,slang
what a position to be in,formal
just posted a video,formal
good news I got replied to by ShirI Allwood,formal
my state is so embarrassing,formal
aww thanks hun,slang
someone made a Studio Ghibli inspired teapot,formal
it gets worse,formal
I thought u was an attack helicopter,slang
u might be going to hell brother,slang
okay I got you,formal
lmao hes the standard,slang
aaaaaah I miss u so bad,slang
erm I'm so happy,slang
anything was better than Trump ok,slang
erm so cute,slang
be less bomb this year,slang
cant come at people all bomb all of a sudden and think that we aint smart enough to see through the hypocrisy,slang
close not me rn,slang
congrats luv,slang
Dery we love you btw stay strong,slang
bae how do people take such in yo face pictures every single day,slang
for example if its written in English while being Spanish obviously hes hyper,slang
aaaaaah,slang
happy 25th birthday to my bro,slang
happy birthday luv hope you have a good one,slang
happy birthday Dineshkarthik god bless luv,slang
have a good day one and only,slang
wth I am a bit red,slang
I got watched as I sat in my chair and she made me feel weird fr she asked me so many times I was like do I look sick,slang
I will look dead up in arms,slang
imo yes considerably less vibe and some of their phones have modular add ons,slang
it felt fitting heyyyy,slang
it is good ah,slang
wth the lack of brain cells required to have fucked that up so badly,slang
skdkkd careful with the insults,slang
yayyy who did this,slang
ummm but btw Maelo be testing my patience everyday,slang
ah this moron over,slang
wuahh you seeking father figures instead,slang
no thanks so retarded,slang
aaaaahhhhh,slang
rn i'm tired now back to shit posting,slang
fr hello this edit,slang
rn I'm so happy for your family,slang
btw what a lowlife,slang
ok rt,slang
bc use all ur ids to like dem,slang
ppl be jealous of ya bloat,slang
such a sick thing to do,slang
thats pretty bloody,slang
that's wicked,slang
they now know atm,slang
this is such vibe,slang
lmao thatll be a no for me,slang
yeah tbh man's screaming at me because I preferred the old logo,slang
were spoiled ok,slang
what a hyper bloat,slang
what luv say,slang
where are you man,slang
why is this me last year aww,slang
aaaaahhhhh do they do,slang
awww is happening,slang
nooooooooooooooooo why too much blood nah,slang
you are so lit buddy,slang
hahahahahahahhahahahshajsahhsahdsajdhajhajhahah ratio,slang
no need to be sick,slang
ah I'll add u when I finish making it,slang
thank you luv I knew you'd understand me,slang
wuahh twitter,slang
skdkkd we did it,slang
loving all the Chelsea players fr,slang
wth Minecraft is bussin,slang
u can literally feel when u dont mean moron to a person,slang
yeah thanks bro,slang
heyyyy hes the standard,slang
aww I miss u so bad,slang
yeah I'm so happy,slang
anything was better than Trump rn,slang
wth so cute,slang
be less salty this year,slang
cant come at people all hyper all of a sudden and think that we aint smart enough to see through the hypocrisy,slang
close not me ok,slang
congrats bae,slang
man how do people take such sick pictures every single day,slang
for example if its written in English while being Spanish obviously hes bomb,slang
happy 25th birthday to my buddy,slang
happy birthday bestie hope you have a good one,slang
have a good day hun,slang
wuahh I am a bit red,slang
I got watched as I sat in my chair and she made me feel weird btw she asked me so many times I was like do I look sick,slang
I will look dead bomb,slang
it felt fitting hmm,slang
it is good yeah,slang
hmm the lack of brain cells required to have fucked that up so badly,slang
wuahh,slang
awww who did this,slang
nooooooooooooooooo but ok Maelo be testing my patience everyday,slang
nooooooooooooooooo this shit over,slang
heyyyy you seeking father figures instead,slang
no thanks so hyper,slang
heyyyy,slang
btw i'm tired now back to shit posting,slang
fr I'm so happy for your family,slang
atm what a lowlife,slang
btw rt,slang
tbh use all ur ids to like dem,slang
ppl be jealous of ya cancer,slang
such a bomb thing to do,slang
thats pretty retarded,slang
that's bloody,slang
this is such shit,slang
ummm thatll be a no for me,slang
aaaaa rn man's screaming at me because I preferred the old logo,slang
were spoiled atm,slang
what a retarded moron,slang
what dude say,slang
where are you hun,slang
uh do they do,slang
aaaaa is happening,slang
wtf why too much blood hahahahahahahhahahahshajsahhsahdsajdhajhajhahah,slang
heyyyy okay this one is tho,slang
no need to be overhyped,slang
aaaaaah I'll add u when I finish making it,slang
rn,slang
skdkkd twitter,slang
ah we did it,slang
loving all the Chelsea players rn,slang
u can literally feel when u dont mean vibe to a person,slang
ah thanks man,slang
erm hes the standard,slang
nah I miss u so bad,slang
ah I'm so happy,slang
anything was better than Trump omg,slang
aaaaa so cute,slang
be less overhyped this year,slang
congrats man,slang
Dery we love you fr stay strong,slang
bae how do people take such salty pictures every single day,slang
for example if its written in English while being Spanish obviously hes in yo face,slang
happy birthday hun hope you have a good one,slang
yeah I am a bit red,slang
I got watched as I sat in my chair and she made me feel weird rn she asked me so many times I was like do I look sick,slang
I will look dead bloody,slang
imo yes considerably less moron and some of their phones have modular add ons,slang
it felt fitting ah,slang
it is good yayyy,slang
aaaaaah the lack of brain cells required to have fucked that up so badly,slang
uh,slang
hmm careful with the insults,slang
yeah who did this,slang
aaaaaah but fr Maelo be testing my patience everyday,slang
aaaaahhhhh this cancer over,slang
ah you seeking father figures instead,slang
no thanks so in yo face,slang
aww,slang
atm i'm tired now back to shit posting,slang
atm what a bloat,slang
atm use all ur ids to like dem,slang
ppl be jealous of ya moron,slang
such a bloody thing to do,slang
thats pretty in yo face,slang
they now know fr,slang
this is such lowlife,slang
hahahahahahahhahahahshajsahhsahdsajdhajhajhahah thatll be a no for me,slang
yeah bc man's screaming at me because I preferred the old logo,slang
were spoiled btw,slang
what a bloody cancer,slang
where are you one and only,slang
why is this me last year lmao,slang
wth why too much blood ah,slang
hmm okay this one is tho,slang
you are so lit bae,slang
ah ratio,slang
lol I'll add u when I finish making it,slang
ok,slang
thank you man I knew you'd understand me,slang
yayyy twitter,slang
yeah we did it,slang
uh Minecraft is bussin,slang
heyyyy thanks luv,slang
aaaaahhhhh hes the standard,slang
skdkkd I miss u so bad,slang
skdkkd I'm so happy,slang
anything was better than Trump btw,slang
lol so cute,slang
be less bloody this year,slang
cant come at people all overhyped all of a sudden and think that we aint smart enough to see through the hypocrisy,slang
congrats buddy,slang
man how do people take such hyper pictures every single day,slang
for example if its written in English while being Spanish obviously hes bloody,slang
wth,slang
happy 25th birthday to my bae,slang
happy birthday dude hope you have a good one,slang
have a good day bae,slang
aaaaaah I am a bit red,slang
nah the lack of brain cells required to have fucked that up so badly,slang
wuahh careful with the insults,slang
aaaaahhhhh who did this,slang
yayyy this lowlife over,slang
awww you seeking father figures instead,slang
yayyy,slang
atm hello this edit,slang
bc I'm so happy for your family,slang
bc what a vibe,slang
such a retarded thing to do,slang
they now know omg,slang
yayyy thatll be a no for me,slang
wtf tbh man's screaming at me because I preferred the old logo,slang
what one and only say,slang
why is this me last year nooooooooooooooooo,slang
erm do they do,slang
nah is happening,slang
erm why too much blood erm,slang
wtf okay this one is tho,slang
you are so lit bestie,slang
wuahh ratio,slang
wth I'll add u when I finish making it,slang
wtf twitter,slang
yayyy we did it,slang
erm Minecraft is bussin,slang
aaaaahhhhh thanks bro,slang
nah hes the standard,slang
uh I miss u so bad,slang
wtf I'm so happy,slang
anything was better than Trump pls,slang
aww so cute,slang
cant come at people all bloody all of a sudden and think that we aint smart enough to see through the hypocrisy,slang
close not me tbh,slang
congrats hun,slang
Dery we love you ok stay strong,slang
bestie how do people take such in yo face pictures every single day,slang
ah,slang
happy 25th birthday to my man,slang
happy birthday Dineshkarthik god bless bestie,slang
have a good day man,slang
aaaaa I am a bit red,slang
it felt fitting wth,slang
it is good nah,slang
hahahahahahahhahahahshajsahhsahdsajdhajhajhahah the lack of brain cells required to have fucked that up so badly,slang
lmao,slang
yeah but ok Maelo be testing my patience everyday,slang
lmao this lowlife over,slang
yeah you seeking father figures instead,slang
no thanks so bloody,slang
bc i'm tired now back to shit posting,slang
omg what a bloat,slang
tbh rt,slang
omg use all ur ids to like dem,slang
ppl be jealous of ya shit,slang
thats pretty up in arms,slang
that's in yo face,slang
this is such moron,slang
nooooooooooooooooo thatll be a no for me,slang
ummm btw man's screaming at me because I preferred the old logo,slang
what a salty bloat,slang
why is this me last year nah,slang
hmm do they do,slang
wtf is happening,slang
awww why too much blood awww,slang
skdkkd okay this one is tho,slang
you are so lit luv,slang
wth ratio,slang
no need to be wicked,slang
ummm I'll add u when I finish making it,slang
tbh,slang
ah twitter,slang
loving all the Chelsea players tbh,slang
aww Minecraft is bussin,slang
wtf thanks one and only,slang
aaaaaah hes the standard,slang
nooooooooooooooooo I miss u so bad,slang
ah so cute,slang
be less retarded this year,slang
cant come at people all salty all of a sudden and think that we aint smart enough to see through the hypocrisy,slang
Dery we love you rn stay strong,slang
hun how do people take such up in arms pictures every single day,slang
for example if its written in English while being Spanish obviously hes shitty,slang
happy birthday Dineshkarthik god bless man,slang
I got watched as I sat in my chair and she made me feel weird tbh she asked me so many times I was like do I look sick,slang
it felt fitting wuahh,slang
it is good awww,slang
wtf the lack of brain cells required to have fucked that up so badly,slang
nooooooooooooooooo careful with the insults,slang
hmm but pls Maelo be testing my patience everyday,slang
wth this bloat over,slang
ummm you seeking father figures instead,slang
no thanks so up in arms,slang
awww,slang
tbh i'm tired now back to shit posting,slang
pls hello this edit,slang
thats pretty sick,slang
yeah thatll be a no for me,slang
ah bc man's screaming at me because I preferred the old logo,slang
what a in yo face bloat,slang
what man say,slang
where are you buddy,slang
why is this me last year aaaaaah,slang
awww do they do,slang
yayyy is happening,slang
heyyyy why too much blood erm,slang
aaaaahhhhh okay this one is tho,slang
lmao ratio,slang
no need to be in yo face,slang
wtf I'll add u when I finish making it,slang
btw,slang
wuahh we did it,slang
loving all the Chelsea players ok,slang
ah Minecraft is bussin,slang
u can literally feel when u dont mean cancer to a person,slang
lmao I miss u so bad,slang
aww I'm so happy,slang
anything was better than Trump bc,slang
nooooooooooooooooo so cute,slang
close not me bc,slang
congrats one and only,slang
Dery we love you atm stay strong,slang
bestie how do people take such bloody pictures every single day,slang
hmm,slang
happy 25th birthday to my bestie,slang
hahahahahahahhahahahshajsahhsahdsajdhajhajhahah I am a bit red,slang
imo yes considerably less shit and some of their phones have modular add ons,slang
aaaaahhhhh the lack of brain cells required to have fucked that up so badly,slang
erm careful with the insults,slang
ah who did this,slang
erm but bc Maelo be testing my patience everyday,slang
hahahahahahahhahahahshajsahhsahdsajdhajhajhahah this cancer over,slang
no thanks so bomb,slang
erm,slang
bc hello this edit,slang
rn what a cancer,slang
bc rt,slang
such a hyper thing to do,slang
that's salty,slang
awww thatll be a no for me,slang
yeah atm man's screaming at me because I preferred the old logo,slang
were spoiled pls,slang
where are you bae,slang
ummm do they do,slang
lmao why too much blood skdkkd,slang
wth okay this one is tho,slang
you are so lit dude,slang
heyyyy ratio,slang
no need to be retarded,slang
fr,slang
thank you buddy I knew you'd understand me,slang
lmao we did it,slang
u can literally feel when u dont mean bloat to a person,slang
lol thanks dude,slang
anything was better than Trump fr,slang
hahahahahahahhahahahshajsahhsahdsajdhajhajhahah so cute,slang
be less wicked this year,slang
cant come at people all retarded all of a sudden and think that we aint smart enough to see through the hypocrisy,slang
close not me fr,slang
one and only how do people take such retarded pictures every single day,slang
wtf,slang
happy 25th birthday to my hun,slang
happy birthday bae hope you have a good one,slang
have a good day bro,slang
I will look dead wicked,slang
heyyyy careful with the insults,slang
aaaaaah but rn Maelo be testing my patience everyday,slang
awww this moron over,slang
hahahahahahahhahahahshajsahhsahdsajdhajhajhahah you seeking father figures instead,slang
no thanks so sick,slang
nah,slang
omg i'm tired now back to shit posting,slang
pls I'm so happy for your family,slang
omg what a cancer,slang
fr use all ur ids to like dem,slang
they now know bc,slang
nah thatll be a no for me,slang
aaaaaah bc man's screaming at me because I preferred the old logo,slang
what a retarded lowlife,slang
where are you dude,slang
why is this me last year aaaaahhhhh,slang
wuahh do they do,slang
wuahh is happening,slang
lmao why too much blood aaaaahhhhh,slang
uh ratio,slang
no need to be hyper,slang
nah I'll add u when I finish making it,slang
bc,slang
thank you bae I knew you'd understand me,slang
aaaaaah we did it,slang
loving all the Chelsea players pls,slang
nooooooooooooooooo Minecraft is bussin,slang
ah thanks one and only,slang
hmm hes the standard,slang
ummm I miss u so bad,slang
heyyyy I'm so happy,slang
hmm so cute,slang
close not me pls,slang
Dery we love you bc stay strong,slang
luv how do people take such salty pictures every single day,slang
for example if its written in English while being Spanish obviously hes sick,slang
happy 25th birthday to my luv,slang
happy birthday Dineshkarthik god bless one and only,slang
heyyyy I am a bit red,slang
imo yes considerably less cancer and some of their phones have modular add ons,slang
it felt fitting lmao,slang
it is good aaaaaah,slang
heyyyy the lack of brain cells required to have fucked that up so badly,slang
ummm careful with the insults,slang
ummm who did this,slang
awww but omg Maelo be testing my patience everyday,slang
ah this cancer over,slang
no thanks so wicked,slang
rn what a moron,slang
fr rt,slang
ppl be jealous of ya lowlife,slang
aaaaaah thatll be a no for me,slang
uh btw man's screaming at me because I preferred the old logo,slang
what a salty vibe,slang
what bro say,slang
where are you luv,slang
lmao do they do,slang
uh is happening,slang
uh why too much blood awww,slang
you are so lit one and only,slang
yeah ratio,slang
wth twitter,slang
hmm we did it,slang
hahahahahahahhahahahshajsahhsahdsajdhajhajhahah Minecraft is bussin,slang
ummm thanks buddy,slang
ah hes the standard,slang
wuahh I miss u so bad,slang
uh I'm so happy,slang
be less in yo face this year,slang
bestie how do people take such bomb pictures every single day,slang
happy 25th birthday to my dude,slang
happy birthday man hope you have a good one,slang
happy birthday Dineshkarthik god bless bae,slang
have a good day bestie,slang
wuahh the lack of brain cells required to have fucked that up so badly,slang
hahahahahahahhahahahshajsahhsahdsajdhajhajhahah but pls Maelo be testing my patience everyday,slang
ummm this shit over,slang
nooooooooooooooooo you seeking father figures instead,slang
fr i'm tired now back to shit posting,slang
ok I'm so happy for your family,slang
ok what a lowlife,slang
atm rt,slang
btw use all ur ids to like dem,slang
such a in yo face thing to do,slang
thats pretty bomb,slang
they now know btw,slang
this is such bloat,slang
aaaaahhhhh thatll be a no for me,slang
nah tbh man's screaming at me because I preferred the old logo,slang
what bestie say,slang
why is this me last year yayyy,slang
wth do they do,slang
lol is happening,slang
erm why too much blood ah,slang
lmao okay this one is tho,slang
you are so lit hun,slang
aww ratio,slang
hmm I'll add u when I finish making it,slang
aaaaahhhhh twitter,slang
uh we did it,slang
loving all the Chelsea players omg,slang
wuahh thanks bro,slang
ah I miss u so bad,slang
hmm I'm so happy,slang
wtf so cute,slang
cant come at people all in yo face all of a sudden and think that we aint smart enough to see through the hypocrisy,slang
bestie how do people take such hyper pictures every single day,slang
yeah,slang
happy birthday buddy hope you have a good one,slang
happy birthday Dineshkarthik god bless hun,slang
have a good day dude,slang
aww I am a bit red,slang
it is good uh,slang
ah the lack of brain cells required to have fucked that up so badly,slang
ummm,slang
awww careful with the insults,slang
heyyyy who did this,slang
erm but rn Maelo be testing my patience everyday,slang
erm this shit over,slang
rn hello this edit,slang
such a wicked thing to do,slang
wtf btw man's screaming at me because I preferred the old logo,slang
were spoiled fr,slang
what a hyper shit,slang
aaaaa do they do,slang
aaaaahhhhh is happening,slang
skdkkd why too much blood erm,slang
lol okay this one is tho,slang
awww ratio,slang
no need to be up in arms,slang
aaaaa I'll add u when I finish making it,slang
uh twitter,slang
wtf we did it,slang
lol Minecraft is bussin,slang
lmao thanks luv,slang
ummm I'm so happy,slang
anything was better than Trump atm,slang
uh so cute,slang
congrats bestie,slang
one and only how do people take such salty pictures every single day,slang
skdkkd,slang
skdkkd I am a bit red,slang
I will look dead shitty,slang
it is good heyyyy,slang
aaaaaah careful with the insults,slang
hahahahahahahhahahahshajsahhsahdsajdhajhajhahah who did this,slang
aaaaa but omg Maelo be testing my patience everyday,slang
lol this cancer over,slang
btw what a shit,slang
omg rt,slang
that's up in arms,slang
they now know pls,slang
wuahh rn man's screaming at me because I preferred the old logo,slang
were spoiled bc,slang
heyyyy do they do,slang
aaaaaah is happening,slang
skdkkd why too much blood heyyyy,slang
aaaaahhhhh ratio,slang
erm I'll add u when I finish making it,slang
thank you dude I knew you'd understand me,slang
heyyyy we did it,slang
loving all the Chelsea players bc,slang
skdkkd Minecraft is bussin,slang
aww thanks bro,slang
uh hes the standard,slang
wuahh I'm so happy,slang
congrats dude,slang
Dery we love you tbh stay strong,slang
for example if its written in English while being Spanish obviously hes wicked,slang
yayyy I am a bit red,slang
it is good hmm,slang
lmao careful with the insults,slang
nah who did this,slang
yeah but btw Maelo be testing my patience everyday,slang
erm you seeking father figures instead,slang
btw hello this edit,slang
bc what a bloat,slang
thats pretty salty,slang
hmm thatll be a no for me,slang
hmm atm man's screaming at me because I preferred the old logo,slang
what a bomb shit,slang
what buddy say,slang
heyyyy is happening,slang
wth why too much blood uh,slang
aaaaaah okay this one is tho,slang
no need to be bomb,slang
heyyyy I'll add u when I finish making it,slang
aaaaa twitter,slang
ummm we did it,slang
ah thanks luv,slang
yeah hes the standard,slang
awww I miss u so bad,slang
aaaaahhhhh so cute,slang
one and only how do people take such overhyped pictures every single day,slang
happy birthday Dineshkarthik god bless dude,slang
ah I am a bit red,slang
I got watched as I sat in my chair and she made me feel weird omg she asked me so many times I was like do I look sick,slang
I will look dead sick,slang
it felt fitting yayyy,slang
it is good wtf,slang
nah careful with the insults,slang
aaaaa who did this,slang
wuahh but bc Maelo be testing my patience everyday,slang
nooooooooooooooooo this moron over,slang
fr what a lowlife,slang
they now know ok,slang
lmao omg man's screaming at me because I preferred the old logo,slang
what a bomb moron,slang
what hun say,slang
hahahahahahahhahahahshajsahhsahdsajdhajhajhahah do they do,slang
wuahh why too much blood aaaaa,slang
awww okay this one is tho,slang
you are so lit bro,slang
wtf ratio,slang
aaaaahhhhh I'll add u when I finish making it,slang
nooooooooooooooooo we did it,slang
wuahh thanks bae,slang
aaaaa hes the standard,slang
wtf I miss u so bad,slang
lmao I'm so happy,slang
cant come at people all sick all of a sudden and think that we aint smart enough to see through the hypocrisy,slang
Dery we love you omg stay strong,slang
bae how do people take such shitty pictures every single day,slang
aaaaa,slang
happy birthday one and only hope you have a good one,slang
I will look dead salty,slang
it felt fitting uh,slang
erm but omg Maelo be testing my patience everyday,slang
wth this moron over,slang
skdkkd you seeking father figures instead,slang
bc what a cancer,slang
such a salty thing to do,slang
what a retarded shit,slang
why is this me last year heyyyy,slang
yayyy why too much blood wtf,slang
thank you one and only I knew you'd understand me,slang
awww twitter,slang
